,Customer Name,Review Title,Rating,Reviews
135,AKSHAY KUMAR,One of the worst product from boat,1.0 out of 5 stars,Sound glitch in both sidesAnd sound in breaking in both sides so I requested to replace the device but i am facing same problem in secound replacement device
136,Pavan Kumar Kudhirilla,Heat issue,1.0 out of 5 stars,Within 10 mins of usage getting heat inside ear..not good for ears if it is like that...
137,RB,Not too Good,1.0 out of 5 stars,Gaming experience is too good but the sound quality is very poor.
138,Ayush Rawat,Not for Gaming.,1.0 out of 5 stars,"Built quality is very poor, latency is very high probably not 40ms, not worth the money."
139,Tsering wangchuck,It says 40ms latency on beast mode but have the r&d team checked whether it's true or not,1.0 out of 5 stars,"                    The media could not be loaded.
                



 Lie is been told about 40 ms latency it is more the 60-70 ms latency rest design is good and also mic they say it's good whereas it has the shitiest mic as the other end the voice goes very low. I have used other products but this is the worst of all.If any gamer planning to buy please dont buy as specially in pubg his character will die and then he will hear the gun shots."
140,PRATHAMESH SONAWANE ,Bad sound quality manufacturing defects,1.0 out of 5 stars,After stopping sound it seems like Something processing behind and sound like kirrrkirrr
141,Darshan N,Immortal 121,4.0 out of 5 stars,"Looks sick, Sound quality is not badCharge on this stays well.Feels like a good investment .  ..."
142,Anand kumar,If u are not playing any song it will always sound buzz that is very irritating...,1.0 out of 5 stars,If u are not playing any song it will always sound buzz that is very irritating...
143,Annamalai,Don't buy this product,1.0 out of 5 stars,Bought this product 4 days before....it's not upto the mark .....when battery is less than 30% video and audio are not syncing. Hardly 5 seconds difference between video and audio. Really shocked by the performance of this product...... please don't buy
144,M.Zeyan,Not good,1.0 out of 5 stars,Don't buy white
145,Gaurav jain,Worst product,1.0 out of 5 stars,Worst product
146,Vignesh,Continuous static noise,1.0 out of 5 stars,Was working fine for 3-4 hours. But after I started hearing static noise continuously and it was really annoying. Even when we play song there will be static noise along with it. Such a disappointment. Returned it
147,Pihu,Poor qualitynot gud for call & waist of money🙏🏻dont waist ur money in this product🙏🏻,1.0 out of 5 stars,I m using this product for daily purpose like listening music & for call. But this product is not gud for both. It's very bad product plzzz give it back. & refund my amount or exchange my product.🙏🏻thnk u
148,Himanshu,Useless,1.0 out of 5 stars,"                    The media could not be loaded.
                



 Not worth the money ear buds are so uncomfortable that they hurt just by wearing them and they produce noise so much you cannot use them in low volume I am trying for refund but they are refusing for it"
